Name, Type, Id, Lon, Lat
Црква „Св. Петар“, null, 2091020745, 40.8698346, 20.9882604
Црква „Св. Димитриј“, null, 2091020751, 40.8686837, 20.988398
Црква Свети Никола - Геракомија, null, 2752601831, 41.1122949, 20.7947761
Теодор Тирон, null, 2574272024, 42.1760396, 22.2929614
Manastir Sveta petka, null, 3660971795, 41.0518754, 21.1673647
Свети Илија, null, 1900107130, 41.985899, 21.4580119
Св. Климент Охридски, null, 3696061336, 41.9669918, 22.7779676
Св. Наум, null, 3696061335, 41.9641339, 22.7747523
Св. Спас, null, 7613439714, 41.3035512, 21.56742
Св. Никола, null, 8357338334, 41.1656297, 21.7266086
Св. Богородица, null, 1999950879, 41.4091983, 22.2367525
Galerija RA, null, 7102244287, 41.9989569, 21.3865879
Св. Троица, null, 3448446754, 41.4516647, 21.3732901
Museum of Wine, null, 1999950866, 41.4085959, 22.2447656
Св. Јован Крстител, null, 5370629108, 41.3664299, 21.5984546
Muftinia e Kërçovës, null, 10077537272, 41.5160132, 20.9641748
Св. Недела, null, 446299959, 41.0407027, 21.3489261
св. Петка, null, 4016402507, 41.3779361, 22.392733
Св. Георгиј, null, 8301185939, 41.3703748, 21.7388573
Halit Efendi Mosque, null, 7791955595, 42.175142, 21.6267867
Св. Никола, null, 7817842296, 41.2846407, 21.0919176
Св. Никола, null, 4406404147, 41.0514202, 21.3246067
Црква Свети Никола - Аеродром, null, 4811606876, 41.9837758, 21.471558
Џамија - Султан Фатих Мехмет II, null, 3695758775, 41.965457, 22.7692342
Св. Кирил и Методиј, null, 9080852687, 42.0664938, 21.0276019
4 Halifët, null, 10077532395, 41.5204992, 20.951301
Bela Kula, null, 10077532396, 41.5186764, 20.9627469
Црква Св. Атанасиј, null, 4072132469, 40.9233256, 21.4576834
Св. Константин и Елена, null, 3391814723, 41.3515093, 21.5636088
Загорански Манастир, null, 7557484740, 41.2600128, 21.4243832
Музеј на НОВ, null, 2268460395, 41.3757107, 21.2457177
Xhamia e Vogël, null, 4722856298, 42.0085197, 21.4387758
Св. Петка, null, 8174375230, 41.0373204, 21.0743396
Залив на Коските, null, 2272386886, 40.9946609, 20.7979124
Kınalı Camii, null, 4072132474, 40.9249064, 21.4611196
Св. Јован Крстител, null, 420449652, 41.6212572, 20.6092921
Манастир Св. Арханѓел Гаврил, null, 9588923646, 41.8849904, 21.5836619
Sv. Krstovden, null, 1734402559, 42.0516811, 21.3110834
Св. Петар и Павле, null, 2323269054, 42.0092594, 21.3618767
Џамија Дуди Ханум, null, 7940160959, 41.9243878, 22.4100945
Успение на Пресвета Богородица, null, 10906089678, 41.5300004, 20.5276097
Св. Димитриј Солунски, null, 7961219816, 41.3290977, 20.6007111
Св. Архангел Михаил, null, 1272929082, 41.8821196, 22.5054658
Св. Георгиј, null, 7707234829, 41.3404832, 21.126402
Св. Јован Крстител, null, 3694794582, 41.967676, 22.8076575
Манастир Св. Илија, null, 2333019844, 42.1299955, 21.3872656
Св. Јован Крстител, null, 8176889958, 41.009273, 21.0103307
Manastir Svetog Ilije, null, 9903663737, 41.1334664, 20.8473582
Црква Св. Теодор Тирон, null, 10589011419, 42.0514058, 21.1147007
Св. Архангел Михаил, null, 8349641690, 41.0429752, 21.3313209
Sveta Nedela, null, 5020280587, 41.949721, 21.2914987
